price_1,price_2,order_large,order_test,additional_service,order_confirm,operator_request,delivery_address,One_click_order
6,6,false,false,false,false,true,true,false
345,345,false,false,false,false,true,true,false
5,5,false,false,false,false,true,true,false
4,4,false,false,false,false,true,true,false
2,2,false,false,false,false,true,true,false
2,2,false,false,false,false,true,true,false
29,29,false,false,false,false,true,true,false
12,12,false,false,false,false,true,true,false
3,3,false,false,false,false,true,true,false
49,49,false,false,false,false,true,true,false
10,10,false,false,false,false,true,true,false
21,21,false,false,false,false,true,true,false
7,7,false,false,false,false,true,true,false
34,34,false,false,false,true,true,true,false
5,5,false,false,false,true,true,true,false
53,53,false,false,false,false,true,true,false
3,3,false,false,false,false,true,true,false
19,19,false,false,false,true,true,true,false
5,5,false,false,false,true,true,true,false
3,3,false,true,false,true,true,true,true
39,29,false,true,false,true,true,true,true
5,4,false,false,false,true,true,true,false
14,10,false,false,false,true,true,true,false
3,3,false,false,false,true,true,true,false
10,10,false,false,false,true,true,true,false
14,10,false,false,false,true,true,true,false
6,6,false,false,false,true,true,true,false
4,4,false,false,false,true,true,true,false
10,10,false,false,false,true,true,true,false
8,8,false,false,false,true,true,true,false
13,6,false,false,false,true,true,true,false
3,3,false,false,false,true,true,true,false
14,14,false,false,false,true,true,true,false
49,49,false,false,false,false,true,true,false
7,5,false,false,false,true,true,true,true
16,16,false,false,false,true,true,true,true
4,4,false,false,false,true,true,true,true
5,5,false,false,false,true,true,true,false
4,3,false,false,false,true,true,true,true
10,10,false,false,false,true,true,true,true
129,99,false,false,false,true,true,true,true
5,5,false,false,false,true,true,true,true
4,4,false,false,false,true,true,true,false
7,5,false,false,false,true,true,true,false
4,4,false,false,false,false,true,true,false
5,5,false,false,false,false,true,true,false
35,28,false,false,false,false,true,true,false
11,11,false,false,false,false,true,true,false
39,39,false,false,false,false,true,true,false
5,5,false,false,false,true,true,true,false
4,4,false,false,false,true,true,true,true
4,4,false,false,false,false,true,true,false
7,7,false,false,false,false,true,true,false
7,7,false,false,false,true,true,true,false
3,3,false,false,false,true,true,true,true
15,7,false,false,false,true,true,true,true
4,4,false,false,false,false,true,true,false
135,135,false,false,false,false,true,true,false
70,42,false,false,false,false,true,true,false
6,6,false,false,false,false,true,true,false
6,6,false,false,false,false,true,true,false
5,3,false,false,false,false,true,true,false
46,46,false,false,false,false,true,true,false
4,4,false,false,false,true,true,false,false
31,31,false,false,false,true,true,false,false
8,8,false,false,false,true,true,false,false
49,49,false,false,false,false,true,true,false
10,10,false,false,false,true,true,false,false
5,5,false,false,false,true,true,false,false
2,2,false,false,false,true,true,false,false
9,6,false,false,false,true,true,false,false
14,8,false,false,false,false,true,true,false
7,7,false,false,false,true,true,false,false
4,4,false,false,false,true,true,false,false
14,14,false,false,false,true,true,false,false
3,3,false,false,false,true,true,false,false
5,5,false,false,false,true,true,false,false
34,34,false,false,false,true,true,false,false
8,5,false,false,false,false,true,true,false
106,106,false,false,false,true,true,false,false
4,4,false,false,false,true,true,false,false
10,8,false,false,false,true,true,false,false
10,10,false,false,false,false,true,true,false
4,4,false,false,false,false,true,true,false
6,6,false,false,false,false,true,true,false
10,8,false,false,false,false,true,true,false
12,12,false,false,false,false,true,true,false
4,4,false,false,false,false,true,true,false
4,4,false,false,false,false,true,true,false
7,7,false,false,false,false,true,true,false
14,14,false,false,false,true,true,false,false
6,6,false,false,false,true,true,true,false
8,8,false,false,false,true,false,true,false
15,15,false,false,false,true,true,true,false
3,1,false,false,false,true,true,true,false
3,3,false,false,false,true,false,true,false
2,2,false,false,false,true,false,true,false
29,29,false,false,false,true,false,true,false
11,11,false,false,false,true,true,true,false
21,12,false,false,false,true,true,true,false
39,25,false,false,false,true,false,true,false
4,3,false,false,false,true,false,true,false
2,2,false,false,false,true,false,true,false
60,30,false,false,false,true,false,true,false
8,6,false,false,false,true,true,true,false
20,20,false,false,false,true,true,true,false
6,6,false,false,false,true,false,true,false
4,2,false,false,false,true,false,true,false
29,29,false,false,false,true,false,true,false
14,12,false,false,false,true,true,true,false
4,4,false,false,false,true,true,true,false
15,15,false,false,false,true,true,true,false
42,42,false,false,false,true,true,true,false
439,439,true,false,false,true,true,true,false
17,17,false,false,false,true,true,true,false
31,31,false,false,false,true,false,true,false
11,11,false,false,false,true,false,true,false
295,295,false,false,false,true,true,true,false
28,28,false,false,false,true,true,true,false
20,20,false,false,false,true,true,true,false
14,14,false,false,false,true,true,true,false
86,86,false,false,false,true,true,true,false
285,285,true,false,false,true,true,true,false
330,330,false,false,false,true,true,true,false
3,3,false,false,false,true,true,true,false
20,20,false,false,false,true,true,false,false
12,12,false,false,false,true,true,true,false
99,79,false,false,false,true,true,true,false
12,12,false,false,false,true,true,true,false
210,210,false,false,false,true,true,true,false
50,50,false,false,false,true,true,true,false
27,18,false,false,false,true,true,true,false
230,230,false,false,false,true,true,true,false
639,639,true,false,false,false,true,true,false
10,10,false,false,false,true,false,true,false
10,10,false,false,false,true,true,true,false
200,200,false,false,false,true,true,true,false
9,9,false,false,false,true,false,true,false
4,4,false,false,false,true,true,true,false
4,4,false,false,false,true,true,false,false
